GO	GENE	CLASS
GO:0004672	NCU00914	MF
GO:0006468	NCU00914	BP
GO:0005524	NCU00914	MF
GO:0004672	NCU00914	MF
GO:0006468	NCU00914	BP
GO:0005524	NCU00914	MF
GO:0006468	NCU00914	BP
GO:0004674	NCU00914	MF
GO:0016021	NCU00916	CC
GO:0055085	NCU00916	BP
GO:0016021	NCU00916	CC
GO:0055085	NCU00916	BP
GO:0016021	NCU00916	CC
GO:0055085	NCU00916	BP
GO:0045039	NCU00930	BP
GO:0042719	NCU00930	CC
GO:0004824	NCU00931	MF
GO:0005737	NCU00931	CC
GO:0000166	NCU00931	MF
GO:0006430	NCU00931	BP
GO:0005524	NCU00931	MF
GO:0003676	NCU00931	MF
GO:0000166	NCU00931	MF
GO:0004812	NCU00931	MF
GO:0006418	NCU00931	BP
GO:0005524	NCU00931	MF
GO:0000166	NCU00931	MF
GO:0004812	NCU00931	MF
GO:0006418	NCU00931	BP
GO:0005524	NCU00931	MF
GO:0004824	NCU00931	MF
GO:0005737	NCU00931	CC
GO:0000166	NCU00931	MF
GO:0006430	NCU00931	BP
GO:0005524	NCU00931	MF
GO:0003676	NCU00931	MF
GO:0016491	NCU00936	MF
GO:0016620	NCU00936	MF
GO:0055114	NCU00936	BP
GO:0016491	NCU00936	MF
GO:0055114	NCU00936	BP
GO:0055114	NCU00936	BP
GO:0009013	NCU00936	MF
GO:0009450	NCU00936	BP
GO:0016491	NCU00936	MF
GO:0055114	NCU00936	BP
GO:0055114	NCU00936	BP
GO:0009013	NCU00936	MF
GO:0009450	NCU00936	BP
GO:0016491	NCU00936	MF
GO:0016620	NCU00936	MF
GO:0055114	NCU00936	BP
GO:0051537	NCU00959	MF
GO:0051536	NCU00959	MF
GO:0009055	NCU00959	MF
GO:0009055	NCU00959	MF
GO:0051536	NCU00959	MF
GO:0016491	NCU00959	MF
GO:0006099	NCU00959	BP
GO:0055114	NCU00959	BP
GO:0051536	NCU00959	MF
GO:0009055	NCU00959	MF
GO:0051536	NCU00959	MF
GO:0051536	NCU00959	MF
GO:0009055	NCU00959	MF
GO:0051537	NCU00959	MF
GO:0016491	NCU00959	MF
GO:0006099	NCU00959	BP
GO:0055114	NCU00959	BP
GO:0016592	NCU00962	CC
GO:0003712	NCU00962	MF
GO:0006357	NCU00962	BP
GO:0016592	NCU00962	CC
GO:0003712	NCU00962	MF
GO:0006357	NCU00962	BP
GO:0055114	NCU00963	BP
GO:0004488	NCU00963	MF
GO:0004488	NCU00963	MF
GO:0009055	NCU00974	MF
GO:0015035	NCU00974	MF
